,Thermax Group-Corporate
,C&H-Cooling-Tech&Innov-Engg
,C&H-Heating-Project-QC-Vendor
,C&H-Cooling-Quality-QC
,CMG-International Business
,Power-MPP-Sales
,TIL-MPP-Oprtns-Construct
,C&H-Heating-FM&GS-Global Sourcing-Contracting
,C&H-Heating-Project-Construction-West
,Corporate Fin-BTG-Corporate
,"HR,IR,Admin-IR-Medical Inspection"
,C&W-WWS-IPG-Process&Proposals
,C&W-SSG-PMS-O&M
,C&W-Chemical-Corporate
,"HR,IR,Admin-HR-B&H"
,"C&H-Services-Oprtns, Planning And Materl"
,SolarCorporate-C&H-Engg
,C&H-Services-North-Cooling
,C&H-Services-Green Business&Solution
,C&H-Heating-Product-Tech Ser
,CMG-South&East-AP
,"C&W-WWS-IPG-Oprtns-Project Mgmt PT,DM,RO"
,C&H-Cooling-Oprtns-Sourcing
,RTIC-Technology Development Center-Cooling Gr
,Corporate Finance-TOESL
,C&W-WWS-Prdt-Ser&Commisioning
,C&H-Heating-Product-QC-Coil
,Enviro-EPC-Domestic & International Sales
,Energy Rental-Sales&Proposals
,C&H-Heating-Project-Sales Mktg&Prod Dev-North
,Power-LPP-Sales&Mktg
,Corporate Finance-TIL
,C&H-Cooling-Dom Sales
,C&H-Cooling-Oprtns-OEG-Commercial
,CFSS-East-Fin
,Power-LPP-Oprtns
,CMG-South&East
,TIL-MPP-Engg-Detail Engg-C&I
,Corporate Fin-Secreterial
,"HR,IR,Admin-IR-Chemical"
,C&W-WWS-IPG-Oprtns-E&I Materl
,C&W-WWS-Prdt-Materl&Assembly-QA-QC/ISO
,C&H-Cooling-Corporate
,C&W-WWS-Municipal&Lrg Projects-Oprtns-Materl
,C&H-Heating-Project-Sales Mktg&Prod Dev-East
,C&H-Services-East
,C&H-Cooling-Intl Sales-Indonesia
,C&W-Chemical-PPG&OFC-Sales-West
,C&H-Heating-Product-Tech Ser-North&East
,Corp Communication-Corporate
,TIL-SPP-EPC
,Enviro-Corporate
,C&H-Heating-Project-Tech Ser-West
,C&H-Heating-Product-Solar-Sales Mktg&Prod Dev
,CMG-South&East-TN1
,C&H-Heating-Project-Sales Mktg&Prod Dev-Customised
,Power-LPP-Engg-Electrical
,Power-MPP-Oprtns-Procure-Group3 Raw Material
,Power-O&M-Operations
,C&H-Heating-Project-Proposals-Bi Drum
,Power-LPP-Oprtns-BPMO
,Power-MPP-Safety
,C&H-Cooling-Mktg
,Enviro-PRD-SBG-Spares&Services
,C&H-Cooling-Tech&Innov-Product Management
,C&H-Heating-Project-Proposals-Non Bi Drum
,Corporate Fin-BTG-Applications Projects
,Power-MPP-Oprtns-Construct-HO Coordination
,Enviro-Manufacturing-ESP
